Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Suspension Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Suspension Trainer,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Miniband Thigh Lateral Walk,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Miniband Ankle Lateral Walk,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Miniband Feet Lateral Walk,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Miniband Standing Glute Kickback,Novice,Glutes,Gluteus Maximus,,,Miniband,1,None,0,Standing,No Arms,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
Barbell Hip Thrust,Novice,Glutes,Gluteus Maximus,,,Barbell,1,Bench (Flat),1,Bridge,Double Arm,Continuous,Pronated,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Barbell Single Leg Hip Thrust,Intermediate,Glutes,Gluteus Maximus,,,Barbell,1,Bench (Flat),1,Single Leg Bridge,Double Arm,Continuous,Pronated,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Stability Ball Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Gluteus Maximus,,,Stability Ball,1,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Foot Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Miniband Standing Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Standing,No Arms,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Bilateral,Bodybuilding
Miniband 3-Way Cha Cha,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,Hip Extension,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Cable Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Cable,1,None,0,Standing,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*
Miniband Wall Sit Hip Abduction,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,,Miniband,1,None,0,Wall Sit,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Bilateral,Unsorted*
Slider Barbell Overhead Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Stability Ball T's Y's I's,Beginner,Shoulders,Posterior Deltoids,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Postural
Resistance Band Reverse Fly,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Resistance Band Lateral Raise,Beginner,Shoulders,Medial Deltoids,,,Resistance Band,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Double Dumbbell Lateral Raise,Beginner,Shoulders,Medial Deltoids,,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Resistance Band Standing Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Double Dumbbell Seated Lateral Raise,Beginner,Shoulders,Medial Deltoids,,,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Bodyweight Pike Push Up,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Dumbbell Side Lying Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,None,0,Side Lying,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1,Bench (Flat),1,Seated,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Miniband Standing Shoulder External Rotation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Miniband,1,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Double Dumbbell Seated Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Double Dumbbell Standing Cuban Rotation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
Single Arm Dumbbell Side Lying Shoulder Internal Rotation,Beginner,Shoulders,Subscapularis,Teres Major,,Dumbbell,1,None,0,Side Lying,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Internal Rotation,,,Transverse Plane,,,Upper Body,Unsorted*,Isolation,Unilateral,Unsorted*
Parallette Feet Elevated Pike Push Up,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,Bench (Flat),1,Inverted,Double Arm,Continuous,Neutral,No Load,Feet Elevated,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
Parallette Wall Supported Handstand Push Up,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Other,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell V Sit Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,1,None,0,V Sit Seated,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,None,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,None,0,Seated Floor,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Stability Ball Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Stability Ball,1,Dumbbell,2,Seated,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Cable Lateral Raise,Beginner,Shoulders,Medial Deltoids,,,Cable,1,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Double Dumbbell Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Parallette Freestanding Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Double Dumbbell Seated Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Overhead Carry,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Bodyweight Freestanding Handstand Push Up,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Shrug,Novice,Trapezius,Upper Trapezius,,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Shrug,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
Cable Seated Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
Double Dumbbell Standing Scaption,Beginner,Shoulders,Serratus Anterior,,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,Unsorted*,Isolation,Bilateral,Unsorted*
Double Dumbbell Seated Scaption,Beginner,Shoulders,Serratus Anterior,,,Dumbbell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,Unsorted*,Isolation,Bilateral,Unsorted*
Stability Ball Double Dumbbell Seated Scaption,Beginner,Shoulders,Serratus Anterior,,,Stability Ball,1,Dumbbell,2,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,Unsorted*,Isolation,Bilateral,Unsorted*
Cable Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,None,0,Single Leg Standing Bent Knee,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*
Cable Hip External Rotation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1,None,0,Standing,No Arms,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,Unsorted*
Alternating Double Dumbbell Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Incline Bench Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Seated,Double Arm,Alternating,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Cross Body Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Elbow Flexion,,,Frontal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Cable Guillotine Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,None,0,Supine,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Supine Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,None,0,Supine,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Incline Bench Preacher Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,Bench (Incline),1,Standing,Single Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Dumbbell Crush Grip Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Zottman Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Dumbbell Waiter Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
High Cable Straight Bar Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Straight Bar Drag Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2,Bench (Incline),1,Prone,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
EZ Bar Spider Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,1,Bench (Incline),1,Prone,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Parallette Side Plank,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Parallette Bars,1,None,0,Side Plank,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Parallette Feet Elevated Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,Bench (Flat),1,Prone,Double Arm,Continuous,Neutral,No Load,Feet Elevated,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Stability Ball Cable Preacher Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Stability Ball,1,Cable,1,Prone,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Standing Concentration Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Frontal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Reverse Barbell Curl,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
EZ Bar Wide Grip Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,EZ Bar,1,None,0,Standing,Double Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
